name,#,wpm,accuracy,raw,date,consistency
rocket,1,304.76,98.97%,311.96,92.70%,27 Aug 2023,09:24
izanagi.,2,304.60,98.48%,315.79,90.53%,25 Jun 2023,00:20
joshua728,3,294.20,98.92%,297.40,90.32%,25 Jun 2023,00:04
slekap,4,277.60,99.15%,281.60,87.96%,11 Nov 2021,01:24
SetsunaUK,5,275.18,99.71%,275.18,91.66%,30 Nov 2023,21:21
APackOfSmarties,6,273.55,97.20%,285.55,94.43%,03 Oct 2023,18:05
shazzy,7,268.80,100.00%,268.80,92.22%,02 Jul 2023,12:19
Rrraptor2,8,267.09,99.12%,273.49,92.80%,22 Feb 2021,14:32
shinrinyokuu,9,264.62,100.00%,264.62,91.98%,08 Jul 2023,05:22
nightingalee,10,264.00,100.00%,264.00,88.99%,31 Oct 2022,02:33
Adamsky,11,259.83,100.00%,259.83,90.08%,20 Mar 2023,16:53
hayatou,12,259.20,96.50%,274.40,91.72%,26 Oct 2023,04:40
munkeontop,13,255.16,99.08%,259.96,91.80%,18 Aug 2023,16:38
fenno,14,255.15,96.44%,269.54,93.13%,26 Aug 2023,18:30
Disturbed,15,255.03,100.00%,255.03,92.04%,17 Mar 2023,20:06
XDmoment,16,253.36,100.00%,253.36,92.90%,23 Sep 2023,06:28
klorin,17,251.98,100.00%,251.98,89.86%,26 Oct 2023,13:41
Jashe,18,250.34,97.20%,257.54,92.42%,03 Jun 2021,07:15
escapism,19,250.07,100.00%,250.07,93.03%,06 Aug 2022,23:24
knew,20,248.79,94.97%,272.14,88.22%,27 Nov 2023,12:35
gian0,21,248.75,100.00%,248.75,92.43%,10 Aug 2023,14:08
hiimnotgood,22,248.00,100.00%,248.00,87.06%,28 Jun 2022,14:02
Conspyre,23,247.07,100.00%,247.07,88.68%,30 Mar 2021,21:42
mac,24,246.40,99.04%,246.40,89.36%,03 Oct 2022,15:13
Zermist,25,246.06,100.00%,246.06,88.22%,29 Nov 2023,01:17
FallenShadow,26,245.60,99.03%,245.60,89.45%,12 Jun 2023,21:21
Algorox,27,245.59,96.94%,261.59,90.50%,26 Aug 2023,21:16
CJasonP,28,245.58,100.00%,245.58,91.10%,08 Aug 2023,02:55
albertjan,29,244.80,99.68%,248.00,90.54%,05 Nov 2022,03:31
oat,30,244.80,99.67%,245.60,87.79%,24 Feb 2023,19:26
kooltyme,31,244.65,100.00%,244.65,89.29%,25 Aug 2023,21:42
xanderec,32,243.97,100.00%,243.97,94.42%,09 Nov 2023,13:10
weinventyou,33,243.12,100.00%,243.12,93.90%,31 Aug 2023,00:22
LeSirH,34,243.11,98.09%,251.10,91.55%,08 Sep 2023,22:43
Inevstream,35,242.40,100.00%,242.40,90.93%,24 May 2023,17:48
carlibou,36,241.60,96.56%,256.00,89.92%,16 Apr 2022,14:20
essmann03,37,241.53,96.27%,257.53,89.96%,02 Dec 2023,10:07
SpeedTypingYT,38,241.47,99.67%,243.07,93.90%,23 Apr 2021,17:58
yarinaoshi,39,240.76,97.19%,255.16,92.81%,16 Sep 2023,17:26
LL.,40,240.64,97.74%,247.83,88.32%,22 Oct 2022,17:03
matu_,41,239.87,96.79%,249.47,88.60%,29 Aug 2023,08:50
LeaFy,42,238.37,99.00%,238.37,89.63%,03 Dec 2023,18:19
SH4NK,43,238.19,99.00%,240.59,82.04%,10 Aug 2021,04:20
Cucu,44,237.60,97.71%,244.80,92.66%,22 Jul 2023,09:01
freezingflame,45,236.75,100.00%,236.75,91.23%,25 Sep 2023,22:05
residober,46,236.64,100.00%,236.64,87.52%,21 Nov 2021,21:52
relative,47,235.98,99.33%,239.18,89.56%,16 Aug 2023,17:04
pythaclid123,48,235.84,100.00%,235.84,92.65%,17 Mar 2022,17:12
rajakumar,49,235.67,100.00%,235.67,93.14%,05 Oct 2023,21:30
boluo,50,235.20,95.90%,253.60,87.56%,17 Mar 2023,08:14
boluo,50,235.20,95.90%,253.60,87.56%,17 Mar 2023,08:14
soph,51,235.04,99.00%,240.64,92.62%,22 Sep 2022,19:43
Bluelightning,52,234.37,98.03%,243.17,91.09%,12 Oct 2023,20:35
Kamillon,53,234.34,99.32%,236.74,88.67%,25 Oct 2023,05:24
shazalt,54,233.60,99.32%,236.80,89.79%,07 Mar 2023,15:17
foggy,55,233.60,95.61%,255.20,91.51%,17 Oct 2020,18:48
radioAKTIVE,56,233.51,100.00%,233.51,91.43%,23 Aug 2023,20:14
dvoraker,57,232.80,99.66%,236.00,91.56%,11 Jul 2023,05:12
Davi07,58,232.80,98.99%,237.60,89.06%,07 Apr 2023,11:27
teddyl,59,232.78,100.00%,232.78,89.06%,05 Sep 2023,17:31
incendiary,60,232.64,97.68%,241.44,92.12%,20 Apr 2023,17:25
Jashemak,61,232.64,97.35%,241.44,92.33%,02 Feb 2022,15:58
apis13,62,231.96,100.00%,231.96,93.28%,16 Dec 2023,21:24
kentdrone,63,231.96,98.67%,240.76,71.49%,22 Oct 2023,22:59
litevx,64,231.90,100.00%,231.90,89.21%,12 Aug 2023,10:52
BigFloppaGosha,65,230.89,100.00%,230.89,91.86%,05 Jun 2023,11:21
TZL,66,230.40,100.00%,230.40,93.36%,15 Apr 2023,10:10
stev_cubed,67,230.14,100.00%,230.14,91.45%,07 Apr 2021,15:53
cptbbq,68,229.60,100.00%,229.60,91.28%,24 Jun 2023,02:51
divinityseraph,69,229.60,100.00%,229.60,91.71%,29 Jul 2022,23:48
boneyWT,70,229.55,100.00%,229.55,90.87%,26 Sep 2023,18:38
aiden,71,229.55,98.63%,229.55,91.84%,26 Oct 2023,14:54
Jojamex,72,229.52,95.51%,249.51,90.84%,24 Nov 2023,18:51
bunniesaurusss,73,228.80,100.00%,228.80,95.52%,17 May 2023,10:02
oomydoomers,74,228.80,97.05%,243.20,83.97%,06 May 2022,20:00
lgf2111,75,228.79,100.00%,228.79,94.43%,21 Jul 2021,11:35
Escort,76,228.74,100.00%,228.74,89.43%,30 May 2021,10:04
N4SCAR,77,228.73,97.61%,228.73,84.55%,10 Nov 2023,11:59
Jisoo,78,228.69,98.63%,232.69,92.29%,04 Jul 2021,08:43
crot,79,228.65,100.00%,228.65,89.26%,07 Jan 2023,19:52
Ivander,80,228.65,96.39%,243.84,89.89%,16 Jul 2023,08:41
n1a2c3,81,228.00,100.00%,228.00,91.41%,03 Aug 2022,17:14
9sm,82,228.00,99.65%,228.00,75.97%,09 May 2023,18:33
Fontaine,83,228.00,97.63%,236.00,90.41%,23 Jul 2023,12:09
cwjalex,84,227.96,100.00%,227.96,87.85%,30 Jan 2021,14:03
Padster,85,227.94,96.68%,240.74,90.64%,02 Dec 2023,10:28
evestay,86,227.92,100.00%,227.92,91.62%,26 Nov 2023,16:02
istanmonkeytype,87,227.88,98.28%,231.87,88.88%,10 Oct 2023,12:01
ArabianPanther,88,227.85,100.00%,227.85,90.39%,04 Jun 2023,12:48
govegan,89,227.85,100.00%,227.85,89.47%,09 Sep 2022,04:12
ProfXwing,90,227.85,97.97%,236.64,85.73%,09 Jan 2022,11:55
FamBoy32,91,227.71,100.00%,227.71,89.83%,01 Sep 2023,09:55
planted,92,226.40,100.00%,226.40,89.42%,01 May 2023,09:17
matthewyangcs,93,226.35,100.00%,226.35,91.82%,26 Nov 2020,06:04
StyleZ,94,226.25,100.00%,226.25,91.16%,16 Apr 2023,12:03
vaihayasa,95,225.60,100.00%,225.60,93.22%,22 Oct 2021,05:06
brooksdunsmore,96,225.60,98.96%,230.40,87.94%,03 Jun 2023,19:44
phonks,97,225.60,98.96%,231.20,91.22%,04 May 2023,12:39
GioD,98,225.45,99.30%,225.45,87.85%,12 May 2022,00:36
colemak2334,99,225.45,98.31%,235.84,88.60%,16 Apr 2023,04:08
princedhq,100,224.80,98.63%,232.80,89.39%,28 Apr 2023,06:11
princedhq,100,224.80,98.63%,232.80,89.39%,28 Apr 2023,06:11
midnightdaydream,101,224.75,96.92%,233.55,93.82%,03 Dec 2023,16:58
JBroook,102,224.69,100.00%,224.69,75.85%,22 Sep 2023,07:59
John,103,224.62,100.00%,224.62,93.12%,15 Feb 2021,17:48
aliteralchild,104,224.50,100.00%,224.50,90.16%,26 Apr 2023,10:17
Bennison,105,224.00,100.00%,224.00,92.01%,09 Aug 2022,21:49
heartemoji,106,224.00,100.00%,224.00,87.99%,06 Jun 2022,22:51
arijan,107,223.99,99.30%,227.18,86.30%,21 Aug 2023,14:52
scaphism,108,223.97,100.00%,223.97,90.69%,24 Nov 2023,00:27
josiahCS,109,223.96,98.64%,235.15,90.36%,29 Aug 2023,00:47
Vinhsanity,110,223.91,98.96%,230.31,93.64%,16 Jul 2021,19:19
iamtrashattyping,111,223.85,98.61%,229.45,89.23%,10 Jan 2023,13:31
Vishy_,112,223.72,98.94%,226.12,89.78%,14 Jan 2021,01:24
Gravy4955,113,223.70,97.94%,232.49,91.21%,06 Jan 2023,15:36
olive_11,114,223.20,100.00%,223.20,87.61%,05 Feb 2023,20:58
Pull,115,223.20,98.95%,229.60,87.65%,03 Aug 2022,15:09
Shud,116,223.20,97.55%,228.80,91.77%,26 Jul 2022,17:17
Annihilator,117,223.14,97.63%,235.93,89.23%,13 Sep 2023,19:06
shuxue,118,223.05,98.60%,227.85,90.78%,30 Jul 2023,02:28
vEvergarden,119,223.05,96.28%,236.64,92.72%,16 May 2023,20:05
Shizuko,120,222.90,100.00%,222.90,92.45%,16 Mar 2023,14:54
hemicolon,121,222.90,100.00%,222.90,73.31%,23 Jan 2022,00:02
Fusionzx_,122,222.40,97.92%,230.40,90.27%,29 Jun 2023,15:00
zhange2,123,222.40,97.59%,232.80,80.64%,18 Dec 2022,03:39
AlphaCross,124,222.40,95.36%,241.60,91.72%,25 Jul 2022,00:54
Vielle,125,222.37,96.53%,222.37,90.29%,29 Apr 2021,05:54
HAKSOZ,126,222.33,96.96%,236.72,88.38%,23 Sep 2023,19:25
Reploz,127,222.32,100.00%,222.32,90.79%,18 Nov 2023,23:07
aeriscgn,128,222.25,100.00%,222.25,94.84%,27 Jan 2023,10:57
FEZfan,129,222.23,96.07%,243.81,91.26%,29 Nov 2023,22:01
CulHaxrExcalibr,130,221.77,99.64%,224.16,94.00%,10 Aug 2023,01:27
Pheia,131,221.56,100.00%,221.56,89.01%,06 Oct 2023,23:25
Alukigo,132,221.53,98.26%,229.52,88.26%,30 Nov 2023,21:13
Xayiver,133,221.51,98.94%,227.10,91.49%,03 Jan 2021,07:13
Lrip,134,221.45,100.00%,221.45,90.14%,04 May 2023,22:14
hotmama,135,221.30,100.00%,221.30,87.67%,10 Aug 2022,06:50
Traykend,136,220.80,100.00%,220.80,70.92%,17 Feb 2023,18:27
Benderong,137,220.80,100.00%,220.80,92.11%,30 Nov 2022,08:54
Miles223,138,220.80,100.00%,220.80,93.79%,18 Jul 2022,15:30
humanwast,139,220.80,100.00%,220.80,95.65%,03 Feb 2021,17:47
bruhmoment911,140,220.80,99.29%,224.80,89.78%,14 Apr 2023,10:10
fingees,141,220.80,98.95%,228.00,92.08%,27 May 2023,15:28
semi,142,220.79,99.29%,226.38,90.95%,30 Aug 2023,23:47
6x0w,143,220.78,100.00%,220.78,89.73%,08 Nov 2023,15:11
adamV247,144,220.77,98.95%,228.77,94.11%,12 Sep 2023,20:36
DaCrazyDev,145,220.76,99.64%,220.76,84.45%,13 Nov 2023,21:17
slowcolt,146,220.75,98.62%,231.14,93.05%,23 Oct 2023,23:37
Kerby_Berby,147,220.70,97.95%,234.29,92.32%,18 Dec 2023,17:56
A15,148,220.65,100.00%,220.65,90.95%,10 May 2023,16:36
iwantyoghurt,149,220.65,98.93%,220.65,86.35%,02 Feb 2022,23:58
cheffray,150,220.65,97.92%,231.05,94.17%,05 Mar 2022,18:54
cheffray,150,220.65,97.92%,231.05,94.17%,05 Mar 2022,18:54
jyin,151,220.65,97.87%,225.45,91.06%,04 Dec 2022,17:44
Decone5,152,220.51,100.00%,220.51,88.29%,04 May 2023,13:07
pandora,153,220.13,94.30%,237.67,89.30%,01 Dec 2023,00:21
u_da_me,154,220.00,100.00%,220.00,92.91%,16 Feb 2023,14:32
zetria,155,220.00,100.00%,220.00,90.11%,10 Apr 2022,19:25
angelo,156,220.00,100.00%,220.00,88.27%,02 Apr 2022,16:09
DannyKoz,157,220.00,98.92%,222.40,90.79%,16 Apr 2023,01:55
Tsovinar,158,220.00,96.30%,237.60,89.87%,13 Apr 2022,16:31
Emyr,159,219.96,98.93%,224.76,88.89%,23 Sep 2023,09:25
Ibexus,160,219.95,98.60%,228.75,88.92%,08 Oct 2023,18:18
not_seggie,161,219.93,98.25%,227.93,93.34%,18 Oct 2023,22:33
actualglacier,162,219.87,94.31%,239.06,89.09%,08 Dec 2023,11:30
yokidoki,163,219.79,99.64%,222.99,95.27%,23 Aug 2023,01:33
sephyhalcral,164,219.20,99.28%,222.40,90.58%,30 Jan 2023,04:03
redsky1,165,219.20,97.89%,227.20,90.08%,16 Jun 2023,21:23
TheHamster847,166,219.18,98.24%,227.18,92.66%,13 Aug 2023,00:37
icyshibe,167,219.17,96.54%,231.16,88.09%,28 Aug 2023,20:07
ayayayaka,168,219.11,98.93%,224.71,91.40%,19 Dec 2023,01:41
akuuma,169,219.08,100.00%,219.08,90.96%,02 Aug 2023,02:26
Morpheye,170,219.05,100.00%,219.05,90.11%,09 Jul 2023,01:56
AsbestosEnjoyer,171,219.05,99.29%,226.25,88.74%,11 Dec 2022,01:38
harnessing,172,218.95,100.00%,218.95,72.62%,05 May 2021,08:02
calmchowder,173,218.40,100.00%,218.40,89.35%,21 Jun 2023,21:56
onivl,174,218.40,100.00%,218.40,90.13%,13 Feb 2023,23:45
mpu,175,218.40,100.00%,218.40,92.71%,12 Jan 2022,07:36
btc,176,218.37,100.00%,218.37,89.73%,11 Dec 2023,16:16
Platformer,177,218.34,98.92%,221.54,89.56%,24 Sep 2023,23:37
andr,178,218.28,100.00%,218.28,88.79%,29 Sep 2023,07:30
cookiecap10,179,218.27,98.93%,223.87,92.01%,08 Nov 2023,02:08
ZenoGamin123,180,218.26,99.28%,223.05,90.22%,01 May 2021,14:22
OtakuShinji,181,218.11,97.89%,226.90,86.85%,14 Jul 2023,18:44
noxxane,182,217.60,100.00%,217.60,83.78%,02 Mar 2023,21:57
eggnonk,183,217.58,100.00%,217.58,84.95%,08 Dec 2023,02:02
Volhosis,184,217.53,100.00%,217.53,89.00%,27 Nov 2020,19:43
treeleaf64,185,217.53,99.28%,223.13,86.86%,26 Jul 2021,20:16
ruben123,186,217.51,98.92%,222.31,90.37%,02 Dec 2023,16:19
joshee,187,217.48,100.00%,217.48,90.80%,15 Apr 2021,00:53
sunthehampter,188,217.46,100.00%,218.25,91.49%,19 Apr 2023,08:32
Wobert,189,217.46,100.00%,217.46,91.98%,05 Sep 2022,15:24
badbadkai,190,217.46,100.00%,217.46,93.67%,25 Jun 2022,10:41
SAM-qwerty,191,216.80,100.00%,216.80,88.13%,04 Nov 2023,20:31
0ms,192,216.80,100.00%,216.80,92.05%,27 Mar 2023,16:38
ignisfox,193,216.80,100.00%,216.80,90.00%,11 Feb 2023,06:14
Emran-colemak,194,216.80,100.00%,216.80,86.37%,03 Feb 2023,11:47
COLEMAK_user,195,216.80,100.00%,216.80,92.05%,22 Sep 2022,00:03
ze_or,196,216.80,99.28%,221.60,93.79%,03 Jun 2023,06:57
